MF,Part/Description,Grp,Sts,OEM,Bin/Shelf,O/H,O/O,B/O,Core,Cost,Trade,List,ExtCost
HY,P6F13-AC500 : ASSY-ALL SEASON LINER,200, A,,B3/B00,1,,,,200,227,275,200
HY,P7F13-AC500 : ASSY-ALL SEASON LINER,200, A,,B5/A00,1,,,,200,227,267,200
HY,"P9F13-AU000 : LINER, ALL SEASON FLO",200, A,,B5/A00,1,,,,217,260,306,217
HY,P9H11-AK000 : CARGO SCREEN,200, N,,B5/A00,1,,,,159,204,240,159
HY,RC283S8500QQH : RC283 BUCKLE ASSY F,200, A,,SPORD,0,,,,38.57,52.87,62.21,
HY,R6F12-AC400 : CARGO TRAY,200, A,,SPORD,0,,,,95,114,134,
HY,R6F21-AC000 : COMPLETE ASSY-ROOF CR,200, A,,WALL/3,0,,,,370,482,567,
HY,R6F46-ACA00 : FR MUD GUARD KIT,200, N,,B2/H00,1,,,,29,39,46,29
HY,R6F46-ACF00 : RR MUD GUARD KIT,200, N,,B2/H00,1,,,,29,39,46,29
HY,R6F61-AU000 : TOW HITCH KIT,210, N,,WALL2,1,,,,379,488,574,379
HY,SHZOE-U49B : SANTA FE MX5A OWNERS M,200, A,,SPORD,0,,,,45,59.5,70,
HY,SVC9A-6SYRI-NQQH : SYRINGE KIT (SVC,200, N,,A1/I10,4,,,,0.01,0,0,0.04
HY,S2C79-AC100 : FILTER-COMBI AIR COND,200, A,,403,22,,,,29.82,40.88,48.1,656.04
HY,S2F12-AC600 : REVERSIBLE CARGO TRAY,210, N,,B4/B00,2,,,,29,34.85,41,58
HY,S2F13-AU200 : ALL SEASON FITTED LIN,210, N,,B5/C00,2,,,,70,91.8,108,140
HY,S2F17-AU000 : CARGO NET,210, N,,B1/C00,3,,,,45,58,68,135
HY,S2F21-AC500 : CROSS BARS,210, N,,B5/A00,1,,,,89,116.45,145,89
HY,S2F37-AC000 : SIDE STEPS,210, N,,810,1,,,,129,141.95,167,129
HY,"S2F46-ACB00 : MUD GUARD KIT, FRONT",210, N,,B2/E00,2,,,,7,10.2,12,14
HY,"S2F46-ACG00 : MUD GUARD KIT, REAR",210, N,,B2/E00,2,,,,7,10.2,12,14
HY,S2F61-AU100 : TOW HITCH KIT,210, N,,WALL2,2,,,,264,346,407,528
HY,S2F67-AC501 : TOW HITCH HARNESS,200, A,,B2/F00,0,,,,118,150,177,
HY,S2F67-AC700 : TOW HITCH HARNESS,200, N,,C2/F00,1,,,,100,128,150,100
HY,S5171-22B00-0 : CAR CARE- DISC-FR W,200, N,,B7/I00,1,,,,83.83,114.93,135.21,83.83
HY,S8C79-AC000 : FILTER-CABIN PREMIUM,200, A,,404,16,,,,24.71,33.87,39.85,395.36
HY,"S8F12-AC100 : CARGO MAT, CARPETED",200, N,,B4/D00,1,,,,95,114,134,95
HY,"S8F12-AU100 : CARGO MAT, CARPETED W",210, N,,B5/B00,1,,,,100,137,161,100
HY,S8F13-AU100 : ALL SEASON FITTED LIN,210, A,,B5/F00,0,,,,278,326,384,
HY,S8F21-AU001 : CROSS BARS,210, N,,B3/A,3,,,,313,380,447,939
HY,S8F46-ACA01 : FRONT MUD GUARD KIT,200, N,,B2/C00,1,,,,23,34,40,23
HY,S8F67-AC700 : TOW HITCH HARNESS,200, N,,C2/D00,1,,,,148,179,211,148
HY,S8F67-AC900-QQH : EXTENSION WIRE,200, A,,A1/C00,3,,,,8.97,12.3,14.47,26.91
HY,T6F79-AC000 : FILTER-AIR CONDITIONE,200, N,,401,2,,,,23.42,32.1,39.95,46.84
HY,0JF03-13465 : NUT,200, N,,B1/I09,2,,,,4.42,6.06,7.13,8.84
HY,00F05-AU000-PR3 : TU PAINT PEN PR3,210, N,,426,1,,,,19,28.05,33,19
HY,00F05-AU000-WC9 : TU Paint Pen WC9,210, A,,B2/G00,2,,,,19,28.05,33,38
HY,00F05-AU000-W6H : T/U PAINT SERENIT,200, A,,SPORD,0,,,,24,35.7,42,
HY,00F09-AU011-RL2 : 11' REAR WIPER BL,200, A,,RACK,6,,,,14,20,23,84
HY,00F09-AU012-RL2 : 12' REAR WIPER BL,200, A,,RACK,6,,,,14,20,23,84
HY,00F09-AU013-RB4 : 13' REAR WIPER BL,200, N,,RACK,2,,,,14,20,23,28
HY,00F09-AU014-FL : 14' FLAT WIPER BLA,200, N,,RACK,12,,,,15,20,24,180
HY,00F09-AU014-RL2 : 14' REAR WIPER BL,200, A,,RACK,1,,,,14,20,23,14
HY,00F09-AU016-FL : 16' FLAT WIPER BLA,200, N,,RACK,16,,,,16,22,26,256
HY,00F09-AU018-FL : 18' FLAT WIPER BLA,200, N,,RACK,14,,,,16,22,26,224
HY,00F09-AU020-FL : 20' FLAT WIPER BLA,200, N,,RACK,14,,,,14.29,19.58,23.04,200.06
HY,00F09-AU022-FL : 22' FLAT WIPER BLA,200, N,,RACK,11,,,,16,22,26,176
HY,00F09-AU024-FL : 24' FLAT WIPER BLA,200, N,,RACK,14,,,,14.1,19.34,22.75,197.4
HY,00F09-AU026-FL : 26' FLAT WIPER BLA,200, N,,RACK,10,,,,18,25,29,180
HY,00F09-AU028-FL : 28' FLAT WIPER BLA,200, N,,RACK,12,,,,21,29,34,252
HY,00F09-AU118-FL : 18' FLAT WIPER BLA,200, N,,RACK,20,,,,16,22,26,320
HY,00F09-AU120-FL : 20' FLAT WIPER BLA,200, N,,RACK,10,,,,18,25,29,180
HY,00F09-AU124-FL : 24' FLAT WIPER BLA,200, N,,RACK,5,,,,19,26,31,95
HY,00F53-AM700 : PORTABLE JUMP STARTER,210, N,,B2/D00,1,,,,110.49,0,129.99,110.49
HY,00F73-AU000 : PERSONAL SAFETY KIT,210, N,,B2/D00,2,,,,17,20.4,24,34
HY,00232-ENGOI-LWAR : ENG OIL SYN BLEN,200, A,,SPORD,0,,,,3.49,4.79,5.63,
HY,00232-19020 : PSF-4 POWER STEERING,203, N,,405,1,,,,8.43,11.56,13.6,8.43
HY,00232-19022 : PAG A/C COMPRESSOR OI,200, N,,BULK,3,,,,17.34,23.77,27.97,52.02
HY,"00232-19033 : BRAKE FLUID, DOT 3, 1",203, N,,405,12,,,,3.46,4.74,5.58,41.52
HY,00232-19034 : RUST PREVENTIVE VG-10,203, A,,BULK,1,,,,14.13,19.37,22.79,14.13
HY,00232-19035 : UNDERCOATING AEROSOL,203, A,,BULK,7,,,,9.38,12.84,15.12,65.66
HY,00232-19037 : 75W-90 GEAR OIL-DIFFE,203, A,,BULK,6,,,,12.17,16.68,19.62,73.02
HY,"00232-19053 : BRAKE FLUID, DOT 4, 1",203, N,,BULK,22,,,,5.54,7.59,8.93,121.88
HY,00232-19061 : RTV SILICONE GRAY GAS,200, A,,405,0,,,,11.51,15.78,18.56,
HY,00232-19063 : MTF-70W DUAL CLUTCH T,200, N,,BULK,5,,,,19.78,23.83,28.03,98.9
HY,00232-19068-WAR : R-1234YF REFRIGER,200, A,,SPORD,0,,,,3.52,4.83,5.68,
HY,"00232-19075 : 75W-85 GEAR OIL, GL-5",200, A,,BULK,16,,,,24.15,33.12,38.96,386.4
HY,00232-19081 : SP-CVT 1,200, A,,BULK,17,,,,12.09,16.58,19.5,205.53
HY,"00232-19097 : 75W-85 GEAR OIL,NON-F",200, A,,BULK,9,,,,18.41,25.24,29.69,165.69
HY,"00232-19098 : PINK, ANTIFREEZE/COOL",200, A,,BULK,19,,,,22.92,31.42,36.97,435.48
HY,00232-19100 : WDCTF HD G GEAR OIL,200, A,,BULK,16,,,,16.31,22.36,26.31,260.96
HY,00232-19101 : WDCTF HD H CONTROL OI,200, N,,BULK,9,,,,18.93,25.95,30.53,170.37
HY,0023219106 : MATTE PAINT KIT,200, A,,SPORD,0,,,,168.24,230.65,271.35,
HY,"00232-19108 : DCT FLUID, TGO-10, 70",200, N,,BULK,8,,,,13.58,18.62,21.9,108.64
HY,00232-19109 : HK TECHNOLOGY ENGINE,200, A,,BULK,36,,,,5.47,7.5,8.82,196.92
HY,00232-19113 : ELECTRIC VEHICLE BATT,200, N,,BULK,9,,,,38.66,53,62.35,347.94
HY,00275-18001 : INTERSTATE BATTERY-H5,200, A,,A2/C00,1,,,,135.56,160.04,188.28,135.56
HY,"00275-28001 : BATTERY, AGM, H5A",201, N,,A2/C00,1,,,,212.78,251.19,295.52,212.78
HY,"005DN-26401-6706 : 245/45R18, 96Y,",212, N,,DRIVE,4,,,,157,189.12,196.25,628
HY,"005GY-76711-3673 : 235/55R19, 105V,",200, A,,DRIVE,0,,,,240,239.06,325,
HY,"005GY-76711-6673 : 245/50R20, 102V,",200, A,,NO BIN,0,,,,258,256.06,350,
HY,005MC-29730 : 235/55R19 101V PRIMAC,200, A,,SPORD,0,,,,257,252.88,321.25,
HY,"005PR-41204-00 : 255/45R20, 105V, S",200, A,,SPORD,0,,,,367,359.12,458.75,
HY,08790-2E250-A : FILTER-AIR,201, N,,400,3,,,,5.4,7.4,8.71,16.2
HY,08790-2G000-A : FILTER-AIR,201, N,,403,2,,,,21.73,29.8,35.06,43.46
HY,08790-2H000-A : AIR FILTER,201, A,,403,1,1,,,21.73,29.8,35.06,21.73
